source_key,keyword,count,relative_path,path
30d_endpoint,PATH_TARGET_MISMATCH,2,30d6_final_focus_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d6_final_focus_endpoint_summary.csv
30d_endpoint,mini1,1,30d6_final_focus_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d6_final_focus_endpoint_summary.csv
30d_endpoint,C2025AUG,1,30d6_final_focus_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d6_final_focus_endpoint_summary.csv
30d_endpoint,icloud.com,11,30d6_final_focus_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d6_final_focus_endpoint_summary.csv
30d_endpoint,apple.com,19,30d6_final_focus_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d6_final_focus_endpoint_summary.csv
30d_endpoint,apple.com,26,30d7_final_target_daemon_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d7_final_target_daemon_endpoint_summary.csv
30d_endpoint,mini1,2,30d8_external_support_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d8_external_support_summary.csv
30d_endpoint,C2025AUG,2,30d8_external_support_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d8_external_support_summary.csv
30d_endpoint,icloud.com,4,30d8_external_support_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d8_external_support_summary.csv
30d_endpoint,apple.com,5,30d8_external_support_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d8_external_support_summary.csv
30d_endpoint,icloud.com,4,30d9_external_daemon_endpoint_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d9_external_daemon_endpoint_summary.csv
30d_endpoint,PATH_TARGET_MISMATCH,1,30d_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d_MASTER_SUMMARY.json
30d_endpoint,PATH_TARGET_MISMATCH,1,30d_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d_SHA256_MANIFEST.csv
31d_baseline,"iPhone13,1",22,31d1_file_scan_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d1_file_scan_summary.csv
31d_baseline,22F76,28,31d1_file_scan_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d1_file_scan_summary.csv
31d_baseline,80,40,31d1_file_scan_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d1_file_scan_summary.csv
31d_baseline,80,1022,31d3_soft_marker_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d3_soft_marker_rows.csv
31d_baseline,"iPhone13,1",52,31d4_daemon_device_context_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d4_daemon_device_context_rows.csv
31d_baseline,22F76,106,31d4_daemon_device_context_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d4_daemon_device_context_rows.csv
31d_baseline,80,45,31d4_daemon_device_context_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d4_daemon_device_context_rows.csv
31d_baseline,LOW_EXPOSURE_BASELINE_NO_HARD_SC_MARKERS,1,31d5_mini1g_final_baseline_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d5_mini1g_final_baseline_summary.csv
31d_baseline,hard_sc_marker_hits,1,31d5_mini1g_final_baseline_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d5_mini1g_final_baseline_summary.csv
31d_baseline,"iPhone13,1",1,31d5_mini1g_final_baseline_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d5_mini1g_final_baseline_summary.csv
31d_baseline,22F76,1,31d5_mini1g_final_baseline_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d5_mini1g_final_baseline_summary.csv
31d_baseline,80,27,31d5_mini1g_final_baseline_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d5_mini1g_final_baseline_summary.csv
31d_baseline,LOW_EXPOSURE_BASELINE_NO_HARD_SC_MARKERS,1,31d6_baseline_score_reference.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d6_baseline_score_reference.csv
31d_baseline,hard_sc_marker_hits,1,31d6_baseline_score_reference.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d6_baseline_score_reference.csv
31d_baseline,80,1,31d6_baseline_score_reference.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d6_baseline_score_reference.csv
31d_baseline,LOW_EXPOSURE_BASELINE_NO_HARD_SC_MARKERS,1,31d_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d_MASTER_SUMMARY.json
31d_baseline,hard_sc_marker_hits,1,31d_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d_MASTER_SUMMARY.json
31d_baseline,"iPhone13,1",1,31d_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d_MASTER_SUMMARY.json
31d_baseline,22F76,1,31d_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d_MASTER_SUMMARY.json
31d_baseline,80,27,31d_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d_MASTER_SUMMARY.json
31d_baseline,80,1,31d_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_Baseline_31d_MINI1G_FINAL\31d_SHA256_MANIFEST.csv
32b_falsification,反証,3,32b1_observation_facts_fixed.csv,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b1_observation_facts_fixed.csv
32b_falsification,反証,4,32b2_falsification_matrix_fixed.csv,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b2_falsification_matrix_fixed.csv
32b_falsification,反証,2,32b3_normal_ios_stress_table_fixed.csv,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b3_normal_ios_stress_table_fixed.csv
32b_falsification,反証,1,32b5_expert_review_questions_fixed.csv,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b5_expert_review_questions_fixed.csv
32b_falsification,no_c2_claim,1,32b_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b_MASTER_SUMMARY.json
32b_falsification,usageclientid_not_explicit_old_new,1,32b_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b_MASTER_SUMMARY.json
32b_falsification,falsification,2,32b_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b_MASTER_SUMMARY.json
32b_falsification,overclaim,1,32b_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b_SHA256_MANIFEST.csv
32b_falsification,falsification,1,32b_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_Falsification_32b_FINAL_MATRIX_FIXED\32b_SHA256_MANIFEST.csv
